date,product,region,amount,quantity
2024-07-24,Cooling Fan,North,930.46,18
2023-08-24,SSD,West,1317.05,18
2023-08-17,Power Supply,Central,1311.74,23
2023-09-24,RAM,East,1874.48,5
2024-09-17,Cooling Fan,North,125.6,50
2024-08-13,Webcam,South,251.27,18
2023-11-24,External Drive,East,24.75,8
2024-11-30,Laptop,Central,787.05,26
2023-05-04,Laptop,East,954.9,13
2024-10-24,Desk,Central,1577.55,11
2023-02-14,RAM,West,182.76,47
2023-12-18,Laptop,West,1465.45,7
2024-02-19,USB Cable,East,36.62,42
2023-07-06,Mouse,North,1861.66,50
2024-08-09,Power Supply,North,1599.02,37
2024-01-11,External Drive,Central,921.82,45
2024-12-08,RAM,East,1653.04,9
2024-11-08,Chair,East,1927.88,11
2023-12-31,Graphics Card,Central,1404.14,20
2024-08-13,RAM,North,713.83,2
2024-08-18,Cooling Fan,Central,1386.88,42
2024-02-25,Chair,West,1983.89,34
2023-07-01,External Drive,North,1109.24,13
2024-09-03,Webcam,Central,711.45,9
2023-05-07,Headphones,South,1037.78,13
2023-08-30,Headphones,Central,1004.96,36
2023-04-13,Webcam,North,752.13,7
2023-05-08,Mouse,East,1410.69,12
2023-03-23,Microphone,Central,21.2,1
2024-09-27,Power Supply,East,716.51,44
2023-09-12,Graphics Card,North,1749.2,38
2024-02-01,Microphone,West,438.24,26
2024-08-12,Headphones,North,1367.88,5
2024-02-14,Cooling Fan,Central,1166.94,44
2024-04-12,Mouse,West,1709.95,22
2023-01-07,External Drive,West,1970.57,34
2024-01-25,Case,Central,1877.73,36
2023-04-30,Processor,Central,1245.91,20
2023-04-09,Power Supply,North,1816.95,45
2024-07-05,Processor,Central,27.45,42
2024-06-01,Keyboard,West,1750.88,29
2023-08-02,Case,South,1023.46,49
2024-03-18,Processor,North,762.1,29
2024-11-12,Chair,South,605.97,15
2023-10-11,USB Cable,North,1010.22,50
2024-04-01,Laptop,Central,1624.23,49
2023-03-12,Cooling Fan,Central,1867.22,14
2023-11-02,Case,Central,1938.96,30
2023-07-03,Motherboard,West,214.84,30
2024-04-10,USB Cable,East,1169.46,46
2023-11-10,Microphone,South,540.91,2
2024-01-30,Headphones,Central,19.7,32
2024-11-14,Power Supply,South,1885.1,28
2024-03-25,Motherboard,South,1571.39,16
2024-03-14,Speaker,Central,1552.29,9
2024-02-27,External Drive,South,1349.47,19
2023-06-05,Case,East,1554.58,20
2024-06-13,Speaker,West,797.19,17
2023-02-04,Cooling Fan,East,554.45,50
2024-12-10,Microphone,South,1996.02,31
2023-06-26,Headphones,South,25.68,2
2023-12-19,RAM,West,98.54,16
2024-12-16,Cooling Fan,North,301.91,11
2023-10-12,Motherboard,East,187.51,26
2023-11-21,SSD,East,1929.61,24
2024-06-27,Speaker,West,1851.25,9
2024-03-18,Laptop,North,1506.93,28
2023-02-12,RAM,West,1149.32,20
2024-01-31,Speaker,West,675.71,23
2024-09-14,Desk,Central,383.31,32
2023-11-12,Webcam,West,1410.74,34
2024-10-02,Keyboard,West,642.9,16
2024-03-27,Chair,North,573.69,48
2023-09-11,Desk,Central,675.2,22
2023-07-20,Monitor,East,1866.99,8
2024-06-24,External Drive,North,697.12,3
2023-07-18,Speaker,Central,1271.02,41
2023-04-15,Headphones,Central,601.79,42
2024-09-17,Speaker,Central,975.42,29
2023-05-11,Mouse,North,555.81,2
2024-11-01,SSD,East,1224.88,44
2023-04-13,Laptop,West,52.26,4
2024-10-16,Laptop,South,1592.09,35
2024-09-13,Processor,North,223.74,30
2024-02-13,Monitor,West,886.69,17
2023-03-01,Power Supply,West,1302.49,37
2024-01-01,Power Supply,North,1254.52,48
2023-01-25,SSD,South,936.56,9
2024-07-01,Webcam,Central,1929.91,28
2023-10-09,Mouse,North,604.8,25
2023-05-27,Mouse,East,1500.12,7
2024-11-18,Case,Central,1553.25,28
2024-09-30,Desk,North,941.95,8
2024-11-24,Power Supply,Central,772.72,41
2024-01-22,Processor,East,841.77,47
2024-09-10,Motherboard,West,94.27,27
2024-09-12,RAM,West,1801.04,49
2023-03-18,Graphics Card,North,67.55,2
2023-01-21,Speaker,North,300.2,47
2023-04-10,Desk,South,598.29,14
2024-04-12,Webcam,South,847.18,20
2024-11-26,External Drive,North,849.92,4
2024-04-25,Mouse,East,921.46,8
2024-12-23,Processor,Central,87.39,44
2024-01-03,Graphics Card,South,62.44,31
2023-09-07,Laptop,South,154.06,34
2023-08-18,Keyboard,Central,1392.78,33
2024-07-11,Laptop,South,454.8,6
2024-06-24,Monitor,South,409.76,38
2024-02-04,Desk,Central,887.54,21
2023-03-09,Webcam,East,1021.5,14
2023-09-11,Desk,North,319.84,49
2024-10-02,Microphone,West,1137.94,35
2023-02-07,Motherboard,South,40.78,3
2024-09-13,Laptop,South,450.25,34
2024-02-21,Speaker,East,1830.29,5
2024-11-21,Keyboard,Central,1352.66,47
2024-03-17,Cooling Fan,East,687.38,20
2024-09-06,Desk,Central,1063.66,9
2023-09-22,Headphones,East,1930.4,12
2024-06-30,Laptop,East,462.36,2
2024-09-29,Speaker,North,265.86,37
2023-03-16,USB Cable,West,1808.03,2
2024-02-09,Laptop,North,819.6,2
2023-12-20,Microphone,North,225.54,30
2024-03-16,Webcam,Central,285.07,24
2023-12-22,Microphone,Central,278.33,49
2023-05-15,Laptop,East,129.31,19
2024-07-27,Monitor,Central,1954.53,19
2024-06-30,Mouse,West,622.38,45
2023-03-13,USB Cable,Central,135.08,31
2024-06-24,Laptop,North,1412.07,30
2024-07-04,USB Cable,South,1919.95,27
2023-10-30,Graphics Card,South,912.2,37
2024-04-13,Graphics Card,West,1822.46,24
2023-06-13,Chair,Central,873.35,13
2024-04-19,External Drive,East,1208.86,36
2024-03-01,RAM,South,1883.26,3
2023-08-09,Graphics Card,West,1737.17,11
2024-07-13,RAM,Central,1031.84,14
2024-07-11,Chair,Central,1868.23,35
2023-02-12,Processor,Central,1190.64,31
2023-10-03,Processor,South,1469.27,25
2024-09-09,Speaker,Central,558.5,24
2023-12-16,Cooling Fan,North,1119.91,42
2024-08-20,Processor,North,1297.47,49
2023-03-18,Desk,North,868.79,33
2024-03-03,Cooling Fan,North,1566.41,1
2024-08-26,Motherboard,West,1348.89,16
2023-01-31,Laptop,North,535.99,11
2024-01-30,Motherboard,North,1379.31,3
2024-02-14,Processor,East,1300.42,6
2023-12-06,Headphones,South,1623.5,45
2023-12-24,RAM,North,124.74,41
2024-07-03,Case,East,1515.46,3
2023-09-07,Case,North,454.63,7
2023-09-25,Motherboard,South,1982.72,50
2024-04-27,Motherboard,East,1885.99,21
2024-10-25,Mouse,South,746.91,36
2023-03-28,USB Cable,Central,344.75,4
2024-01-09,Power Supply,West,1565.79,25
2023-09-25,Case,North,110.43,11
2024-05-31,Speaker,East,1823.38,33
2023-05-14,Desk,Central,260.08,32
2023-11-08,Headphones,North,600.9,14
2023-01-26,Power Supply,South,297.66,31
2024-01-27,USB Cable,North,1681.24,2
2023-11-20,RAM,East,1448.32,3
2024-05-09,Keyboard,North,548.34,17
2023-11-21,RAM,South,1978.7,37
2024-05-14,Case,Central,1554.34,25
2023-07-29,External Drive,East,1943.39,30
2023-11-02,Mouse,Central,486.74,9
2024-02-23,Keyboard,East,769.6,48
2023-06-24,Desk,East,1837.04,5
2023-11-26,Case,East,678.32,27
2024-02-20,Case,South,195.19,7
2023-12-07,Case,West,691.71,10
2023-02-07,Keyboard,North,815.29,27
2023-07-23,Keyboard,West,375.37,1
2024-05-25,Mouse,South,605.81,20
2023-09-17,Desk,West,1553.37,26
2023-11-19,SSD,North,1757.57,20
2024-02-13,Processor,West,120.26,39
2023-05-05,Graphics Card,East,329.32,7
2023-02-08,Mouse,South,1795.07,43
2023-01-03,Chair,East,1316.2,8
2024-05-10,Microphone,South,481.67,5
2024-05-25,External Drive,South,1058.21,21
2024-12-10,Headphones,North,48.56,47
2023-01-25,Desk,Central,58.9,47
2023-03-03,Graphics Card,North,1967.9,48
2023-04-30,Laptop,Central,1320.98,15
2023-08-16,Processor,South,1185.58,31
2024-12-09,Chair,South,1967.76,41
2024-02-04,Monitor,Central,346.76,4
2023-08-10,Processor,West,1917.4,11
2023-03-18,Chair,South,373.18,36
2023-06-23,Graphics Card,South,1486.15,32
2023-07-29,Laptop,South,810.31,20
2024-08-28,Keyboard,East,890.37,27
2023-07-30,Case,West,26.59,14
2024-12-10,Motherboard,East,647.74,45
2023-07-21,Webcam,North,1614.52,14
2024-08-08,RAM,East,1416.53,16
2023-08-26,Monitor,Central,1112.15,6
2023-12-05,Desk,East,1646.14,8
2024-10-28,Laptop,Central,1623.2,38
2024-05-29,Laptop,Central,1030.86,50
2023-09-07,Speaker,Central,1627.59,11
2024-11-23,Speaker,South,1816.96,38
2023-08-17,Mouse,North,1903.4,40
2024-07-31,RAM,North,1433.66,50
2023-03-16,Keyboard,South,1523.89,47
2024-08-07,Graphics Card,South,1319.68,29
2023-05-18,Keyboard,North,1329.89,6
2024-03-29,SSD,North,1594.01,31
2023-04-26,Laptop,South,380.14,43
2023-05-24,Cooling Fan,South,248.27,28
2024-09-17,Keyboard,North,1593.9,21
2024-04-29,USB Cable,North,1705.46,23
2023-08-09,Headphones,North,1160.18,21
2024-09-16,Mouse,West,103.59,11
2023-09-10,Headphones,North,67.71,30
2023-05-01,Microphone,South,1409.77,22
2024-09-02,Laptop,Central,27.06,30
2023-02-02,Processor,East,1506.52,34
2023-10-14,Microphone,South,1676.28,48
2024-04-02,External Drive,Central,1427.06,43
2023-07-17,Webcam,South,1360.99,16
2024-12-13,Headphones,South,537.39,30
2023-06-24,RAM,East,893.6,40
2023-03-11,RAM,South,183.77,19
2023-09-05,Headphones,East,1030.92,46
2023-09-26,USB Cable,East,422.68,3
2024-10-18,Case,Central,696.1,21
2023-11-06,Desk,East,1257.61,39
2024-03-30,Power Supply,North,884.36,40
2023-03-20,Chair,Central,265.99,37
2024-01-16,Chair,West,1220.12,10
2024-10-23,Cooling Fan,East,1006.34,22
2024-10-12,Desk,East,1142.27,16
2024-06-26,Monitor,South,946.66,47
2024-12-28,Chair,Central,458.61,42
2024-05-30,Desk,South,1028.33,14
2023-01-01,Speaker,South,694.88,32
2023-05-10,Case,South,1350.72,13
2024-11-07,USB Cable,North,1968.27,41
2024-10-07,Laptop,East,1618.43,48
2023-03-30,Speaker,North,547.68,7
2023-09-08,Keyboard,North,1540.18,3
2024-09-16,Motherboard,Central,312.01,43
2023-04-20,Desk,East,817.94,45
2024-11-15,SSD,South,1165.66,37
2023-09-09,Cooling Fan,West,812.71,5
2024-10-29,External Drive,West,771.68,17
2023-05-23,Headphones,North,1422.07,40
2024-03-19,Webcam,East,1082.87,4
2023-01-14,Mouse,South,741.07,15
2023-04-28,SSD,West,186.43,34
2024-03-15,Case,South,1726.88,4
2023-06-02,Keyboard,West,1818.7,44
2023-03-30,Power Supply,North,51.4,15
2023-09-08,Monitor,Central,1555.4,6
2024-08-24,Keyboard,Central,1972.22,11
2024-01-13,Desk,South,880.15,35
2023-10-26,Power Supply,South,936.41,40
2023-02-21,RAM,South,1890.84,26
2024-11-12,Laptop,East,1413.33,40
2023-09-21,Headphones,East,961.89,8
2023-03-29,Keyboard,South,446.05,31
2023-12-26,Headphones,North,531.45,17
2024-08-16,Processor,Central,1441.12,26
2023-07-28,Speaker,North,613.81,28
2024-02-16,Speaker,South,1227.59,33
2024-02-15,Keyboard,West,1668.29,39
2024-11-20,USB Cable,West,1253.22,21
2024-03-11,SSD,Central,872.61,20
2024-01-25,Motherboard,North,788.54,11
2023-01-19,USB Cable,South,746.01,44
2024-09-18,Case,Central,1681.8,22
2023-04-20,Power Supply,East,279.09,40
2023-08-11,Keyboard,South,1290.9,41
2023-05-19,Case,North,802.51,24
2024-09-04,Chair,East,1935.37,25
2024-12-14,USB Cable,Central,1247.12,15
2024-12-28,Case,Central,629.88,26
2024-11-16,Webcam,North,30.38,44
2023-03-19,Case,West,544.68,47
2023-02-08,Power Supply,East,1661.58,14
2024-08-13,SSD,East,187.96,48
2024-08-31,Monitor,South,1096.95,14
2024-06-20,Case,Central,222.6,3
2024-10-23,RAM,West,1169.64,18
2024-03-22,Processor,North,1036.01,40
2024-04-23,Chair,West,1647.93,7
2023-05-18,SSD,Central,663.53,14
2024-06-11,Processor,West,621.09,23
2024-08-22,Mouse,North,144.51,26
2024-08-20,Chair,Central,1669.33,2
2024-12-30,External Drive,North,1434.29,45
2024-06-04,USB Cable,North,370.39,18
2023-08-28,Webcam,North,893.05,45
2023-06-09,External Drive,South,1184.58,4
2023-07-28,Motherboard,East,1152.19,9
2023-11-18,USB Cable,East,86.54,17
2023-01-21,Cooling Fan,East,313.33,46
2024-07-18,Graphics Card,Central,255.82,10
2024-02-26,USB Cable,Central,854.33,4
2024-06-02,Power Supply,Central,1819.27,25
2024-07-11,Power Supply,West,1251.11,18
2024-03-09,USB Cable,Central,423.25,37
2023-06-13,Power Supply,East,1181.55,22
2024-12-27,Cooling Fan,Central,1973.5,21
2024-04-21,Chair,South,560.16,19
2023-01-20,Processor,East,687.58,2
2023-05-14,Graphics Card,West,270.84,17
2023-04-20,External Drive,East,744.35,25
2024-05-17,SSD,North,301.97,1
2023-12-13,Cooling Fan,West,1083.28,1
2024-05-12,Case,North,1511.84,12
2023-03-17,Motherboard,North,1917.53,21
2023-03-14,SSD,North,635.93,9
2024-12-19,Microphone,North,1702.05,31
2023-02-14,Cooling Fan,East,793.83,28
2023-02-02,Cooling Fan,South,1444.06,37
2024-07-07,Case,Central,1167.34,35
2024-08-03,Microphone,East,666.69,32
2024-08-12,Webcam,South,1756.43,18
2023-02-02,Headphones,Central,1358.3,47
2024-12-16,Processor,South,351.12,49
2023-03-21,USB Cable,East,1474.68,41
2023-10-19,Keyboard,South,1400.44,6
2023-07-30,Keyboard,West,1269.73,31
2023-01-15,Keyboard,East,1574.19,11
2024-12-10,External Drive,East,262.25,41
2024-08-16,Monitor,West,622.21,46
2023-02-10,Mouse,West,225.94,19
2023-04-23,Mouse,West,1159.67,40
2023-05-18,RAM,West,1298.94,41
2023-01-20,Microphone,Central,1579.63,37
2024-08-27,Webcam,East,277.53,31
2024-09-18,Microphone,East,793.47,14
2023-08-15,Chair,North,1463.64,36
2024-08-19,USB Cable,North,16.52,41
2023-07-15,Keyboard,East,11.31,24
2023-09-12,SSD,North,1400.86,24
2024-07-05,Processor,South,497.33,23
2023-07-25,Motherboard,East,245.82,9
2024-09-30,Chair,West,1402.39,18
2024-12-01,SSD,North,306.23,33
2024-08-21,Webcam,West,1308.66,19
2024-10-19,Monitor,North,744.16,32
2023-03-27,Webcam,North,1530.42,29
2023-11-13,Motherboard,North,806.55,14
2023-01-31,Case,East,517.52,40
2023-06-15,Headphones,West,1898.49,40
2023-09-06,Headphones,East,1795.58,34
2024-03-27,Desk,Central,636.3,12
2024-09-02,Mouse,West,218.47,22
2023-01-04,Laptop,East,436.29,44
2023-12-02,Cooling Fan,North,832.82,44
2023-06-20,Laptop,East,1459.26,12
2023-04-05,USB Cable,North,1704.61,47
2024-09-10,Motherboard,South,1262.64,25
2023-11-21,Motherboard,East,1771.34,9
2023-04-03,Monitor,West,1106.62,38
2023-11-17,Speaker,East,904.67,1
2023-03-19,Webcam,West,1672.58,10
2023-02-26,Speaker,West,1803.85,30
2023-07-14,SSD,North,359.14,42
2023-01-25,Webcam,South,486.85,48
2024-09-03,Mouse,Central,1476.3,48
2023-09-08,Laptop,South,1264.52,30
2023-03-11,Power Supply,Central,345.07,26
2023-01-26,Headphones,East,32.5,35
2024-11-18,Monitor,Central,1417.53,35
2024-11-11,RAM,East,628.32,26
2024-11-11,Graphics Card,South,475.99,22
2023-05-19,Cooling Fan,West,1880.14,25
2024-03-02,Headphones,West,672.92,11
2024-04-20,Desk,West,1495.82,21
2023-10-31,Speaker,East,1327.8,18
2024-05-17,Headphones,Central,1779.13,26
2024-04-02,Mouse,Central,128.48,7
2024-07-10,Processor,West,1302.71,35
2023-01-31,Power Supply,Central,1330.15,19
2024-09-07,Graphics Card,East,1816.47,19
2024-08-08,RAM,West,19.29,40
2024-08-02,Mouse,South,1502.13,14
2023-04-15,Motherboard,East,109.98,19
2023-03-16,Keyboard,West,720.49,41
2024-12-30,Monitor,West,581.33,25
2023-08-20,Keyboard,East,1808.5,20
2023-02-12,Graphics Card,East,1863.18,30
2023-07-19,Keyboard,South,516.78,14
2023-03-30,RAM,North,1132.94,5
2024-12-07,Headphones,East,131.51,15
2024-05-25,Keyboard,South,1088.08,29
2023-09-16,Graphics Card,East,1572.08,11
2024-08-12,Case,South,875.12,29
2023-07-29,Case,Central,839.78,10
2023-03-24,Power Supply,East,768.76,4
2023-04-22,Cooling Fan,Central,420.53,45
2024-02-18,Speaker,West,1568.98,19
2024-05-11,SSD,West,1888.79,30
2024-11-17,USB Cable,North,1630.37,12
2024-06-12,Mouse,West,894.38,15
2023-09-09,Laptop,West,477.73,40
2024-11-21,Speaker,East,1011.22,30
2023-08-08,Motherboard,South,639.38,41
2023-10-04,Laptop,South,172.23,3
2023-06-15,Monitor,Central,1868.26,13
2023-04-04,Case,South,952.12,32
2024-12-19,Desk,West,1328.05,30
2023-11-28,Cooling Fan,East,1446.95,41
2023-06-23,External Drive,South,1769.02,22
2023-01-13,External Drive,North,381.54,14
2024-08-30,RAM,North,1617.6,30
2023-10-26,External Drive,East,1910.3,36
2024-02-28,External Drive,West,541.77,42
2023-04-22,Graphics Card,West,667.33,41
2023-06-25,Power Supply,East,1094.92,2
2024-03-01,Motherboard,South,1417.95,32
2024-06-07,Webcam,North,395.08,41
2024-09-11,SSD,South,1533.23,7
2024-02-10,Graphics Card,North,1578.63,13
2024-07-12,USB Cable,South,1325.21,34
2024-04-23,RAM,North,1342.61,41
2024-03-05,Headphones,Central,1062.1,14
2023-03-23,External Drive,West,1749.47,7
2023-01-17,External Drive,East,1997.52,7
2024-01-07,Graphics Card,Central,1597.72,19
2023-06-04,External Drive,South,215.71,2
2023-11-27,Case,South,616.76,44
2024-12-31,Motherboard,Central,498.5,30
2024-08-02,Cooling Fan,North,636.31,45
2023-09-23,Laptop,South,387.42,32
2024-09-09,USB Cable,South,1075.68,48
2023-06-25,Speaker,South,1963.51,9
2024-05-19,Speaker,North,1289.29,24
2023-04-16,Webcam,Central,96.98,30
2023-12-02,Keyboard,North,1970.1,28
2023-09-27,Motherboard,East,1685.99,30
2023-10-13,Motherboard,North,636.36,30
2024-12-14,Processor,North,1581.58,24
2023-03-13,Monitor,Central,1434.78,44
2023-06-30,Case,East,339.25,27
2024-05-05,RAM,Central,538.14,9
2024-05-20,Mouse,East,1439.62,37
2023-10-20,Motherboard,South,193.99,8
2024-03-30,Microphone,Central,957.51,31
2024-08-05,Monitor,North,838.39,36
2024-07-10,Keyboard,South,587.71,5
2024-02-15,Motherboard,West,1172.03,49
2024-01-11,Mouse,East,1433.98,46
2023-03-05,Webcam,Central,47.53,7
2024-08-19,Microphone,Central,544.9,4
2023-05-08,RAM,Central,1730.52,30
2023-05-03,Keyboard,East,1169.06,47
2023-01-04,Motherboard,West,1052.29,4
2023-01-27,SSD,South,939.46,17
2023-08-03,External Drive,West,1598.93,33
2024-07-08,Graphics Card,Central,738.87,34
2023-09-27,Graphics Card,South,674.79,4
2024-06-04,Mouse,West,1829.76,11
2023-02-18,Case,South,819.89,4
2023-11-06,Desk,South,1331.24,1
2024-01-08,Power Supply,North,1581.82,24
2023-11-07,USB Cable,West,198.52,50
2023-03-10,Desk,East,1377.97,18
2024-07-01,SSD,North,25.67,50
2024-03-06,Cooling Fan,East,1141.2,36
2023-10-16,Case,West,1983.68,6
2024-03-03,Keyboard,East,450.16,33
2024-07-21,Power Supply,Central,284.96,45
2023-10-11,Graphics Card,Central,1107.84,36
2023-10-14,Webcam,West,31.31,39
2023-09-22,Monitor,North,1000.62,10
2023-08-03,Case,North,121.95,13
2024-01-22,Keyboard,East,592.68,8
2024-05-30,Power Supply,North,986.9,18
2024-02-28,Keyboard,Central,1708.38,16
2024-05-23,Headphones,East,1179.46,12
2024-04-10,Laptop,Central,1264.95,39
2023-09-27,Processor,North,748.47,17
2024-09-01,Laptop,North,1408.75,44
2024-07-06,Webcam,North,1925.36,26
2023-04-20,Microphone,West,586.07,10
2024-08-11,Motherboard,Central,621.41,17
2023-07-11,USB Cable,West,1171.79,18
2023-01-22,Mouse,East,1098.29,37
2023-02-22,USB Cable,North,1268.79,35
2024-05-31,Mouse,East,1074.34,5
2024-08-22,Graphics Card,Central,1657.86,39
2023-10-29,Graphics Card,South,1059.07,5
2024-02-09,Webcam,North,1203.3,9
2023-09-22,Case,South,1482.94,5
2023-02-26,Microphone,West,1941.01,32
2024-05-31,Headphones,West,1609.07,5
2023-07-24,Graphics Card,West,1268.32,26
2023-02-11,Headphones,North,1916.94,25
2023-02-06,Processor,West,204.42,2
2023-07-24,SSD,Central,529.04,33
2023-03-27,SSD,North,1803.78,1
2024-01-22,Cooling Fan,West,789.04,37
2024-10-05,Cooling Fan,Central,172.1,39
2023-01-19,Desk,East,499.26,2
2024-07-18,SSD,East,745.93,23
2024-06-01,SSD,South,669.51,7
2023-05-22,Cooling Fan,West,1054.72,24
2024-09-11,Cooling Fan,South,1333.1,34
2023-07-25,Headphones,South,1261.64,5
2024-02-10,Webcam,Central,1094.32,38
2023-10-31,Headphones,North,253.66,33
2023-07-09,Power Supply,Central,1610.45,39
2024-06-30,Keyboard,West,1988.86,25
2024-03-02,Microphone,West,1935.32,32
2024-02-28,SSD,West,25.18,46
2024-02-07,Microphone,Central,1987.44,20
2023-10-15,Keyboard,South,1973.1,5
2024-09-18,External Drive,South,523.49,49
2024-09-05,Mouse,West,1219.34,31
2024-01-01,Desk,South,207.65,3
2023-12-22,Speaker,Central,1388.21,7
2024-11-13,Mouse,North,1952.9,30
2024-04-21,Microphone,West,349.14,29
2024-05-10,Laptop,West,148.29,17
2023-01-07,Keyboard,East,1651.29,36
2024-12-04,Headphones,Central,610.79,35
2024-03-25,USB Cable,Central,1472.25,14
2024-10-14,Cooling Fan,West,1296.07,35
2023-09-24,Keyboard,South,231.32,47
2023-03-06,Laptop,East,624.25,39
2024-10-31,Desk,North,1822.44,28
2023-10-18,Headphones,North,1951.34,41
2023-09-14,Chair,South,851.72,33
2024-07-04,Monitor,South,1950.2,7
2024-11-16,Speaker,East,370.46,11
2023-04-17,External Drive,Central,1731.34,49
2023-05-07,Headphones,West,880.49,13
2024-10-03,Headphones,North,1549.7,28
2024-04-27,Power Supply,South,794.98,50
2024-05-19,Monitor,East,320.04,26
2024-11-10,Laptop,East,102.51,29
2024-08-13,Case,West,1530.47,46
2024-02-24,Headphones,South,294.78,30
2024-06-13,RAM,North,1541.1,13
2024-09-14,USB Cable,West,785.31,39
2023-10-05,Monitor,North,173.35,45
2024-04-30,Cooling Fan,South,1377.67,8
2024-09-22,External Drive,West,1694.46,12
2024-08-15,External Drive,Central,1670.96,9
2023-12-28,Desk,South,1461.09,27
2023-11-21,Case,South,368.01,11
2023-04-06,SSD,West,448.78,17
2024-11-23,Keyboard,East,517.44,42
2024-01-05,Headphones,South,1115.88,17
2023-03-08,Processor,East,1944.49,29
2024-05-11,Motherboard,East,1178.36,11
2024-03-30,Microphone,West,1910.36,18
2023-11-22,Keyboard,North,1965.0,27
2023-04-27,Chair,North,492.07,5
2024-04-22,Cooling Fan,Central,233.7,17
2024-12-27,USB Cable,Central,612.12,20
2023-09-26,SSD,Central,1843.64,44
2024-07-02,Cooling Fan,Central,374.47,11
2024-08-03,Cooling Fan,North,1487.03,31
2023-09-11,External Drive,West,1936.49,28
2023-04-25,Laptop,West,1731.95,22
2024-12-31,Microphone,Central,788.16,38
2023-04-01,Graphics Card,West,1520.51,9
2023-07-28,USB Cable,East,990.56,23
2024-08-21,Motherboard,South,427.95,27
2023-08-30,Laptop,East,1636.29,35
2023-01-21,Mouse,Central,526.49,14
2024-01-19,Motherboard,North,569.72,11
2023-07-19,Laptop,East,845.48,4
2024-10-21,Mouse,North,370.17,29
2023-01-11,Chair,South,55.06,27
2024-07-09,SSD,Central,424.07,42
2024-11-15,Desk,South,368.19,30
2024-06-21,Monitor,West,543.72,45
2024-12-28,Desk,Central,1807.23,27
2024-03-14,Keyboard,Central,1212.01,36
2024-01-22,Processor,North,170.11,36
2024-03-21,Webcam,South,414.26,24
2023-10-11,Power Supply,South,316.78,7
2023-07-02,RAM,North,1579.51,34
2023-10-11,Power Supply,West,596.0,16
2024-07-08,Case,South,102.11,4
2023-12-22,Keyboard,East,262.23,50
2024-07-18,Chair,North,910.72,14
2023-04-06,Graphics Card,North,140.73,19
2024-05-01,Power Supply,Central,571.89,41
2024-07-18,USB Cable,West,490.48,15
2024-01-24,Case,North,1659.71,24
2023-11-19,Laptop,East,1135.43,40
2024-10-29,Monitor,Central,1125.49,38
2024-09-15,Keyboard,North,705.68,13
2024-01-06,Keyboard,West,1899.3,44
2023-09-16,External Drive,East,1972.29,28
2023-11-04,Chair,South,498.57,49
2023-03-04,Graphics Card,East,1091.15,34
2023-01-17,Laptop,South,317.43,32
2024-05-08,Graphics Card,Central,1007.33,39
2024-03-09,Power Supply,North,1261.45,21
2023-08-13,External Drive,North,1216.15,45
2023-10-04,Graphics Card,East,1835.45,16
2023-10-17,USB Cable,East,1169.41,40
2024-09-21,Headphones,East,634.35,5
2024-02-16,Case,Central,1965.05,12
2024-02-12,Monitor,East,1044.09,22
2023-08-11,Keyboard,West,610.18,48
2023-05-23,Microphone,South,1026.52,24
2024-05-12,Mouse,South,1338.01,21
2024-03-01,Processor,East,940.64,29
2024-11-19,External Drive,West,440.98,30
2024-06-28,Case,South,1757.61,44
2023-11-11,Chair,North,702.39,43
2024-07-04,Power Supply,South,81.09,40
2024-02-11,Mouse,Central,481.84,24
2024-01-12,USB Cable,North,816.62,37
2023-12-06,Monitor,West,1179.19,42
2024-02-11,Monitor,South,1806.07,37
2023-01-17,Cooling Fan,South,1299.19,32
2024-04-28,Monitor,East,547.07,49
2024-06-01,Power Supply,East,1658.46,29
2024-08-15,Motherboard,East,1608.67,15
2024-02-18,Processor,Central,1048.99,37
2023-10-21,Processor,East,1161.6,49
2023-07-02,Desk,West,310.4,31
2023-05-11,Speaker,Central,82.45,44
2023-07-12,Cooling Fan,Central,1410.7,38
2024-09-16,External Drive,Central,1972.42,23
2023-11-18,Motherboard,Central,588.2,32
2024-02-17,Microphone,East,958.34,20
2024-05-28,Graphics Card,South,660.57,6
2024-11-23,Chair,Central,1915.54,22
2024-12-28,Cooling Fan,North,1660.47,9
2024-12-27,Headphones,North,1534.73,17
2023-05-31,Power Supply,West,1839.77,31
2023-05-21,Laptop,South,1922.04,22
2024-02-27,Case,South,1975.17,24
2024-12-20,Keyboard,South,1132.01,31
2024-11-21,Speaker,East,1023.1,43
2024-02-15,Keyboard,Central,1941.36,6
2024-11-25,Keyboard,South,1806.89,16
2023-12-21,Case,East,537.94,48
2023-10-12,Webcam,South,230.4,45
2024-02-11,Keyboard,East,921.1,33
2024-09-04,External Drive,East,1441.42,37
2024-10-08,Graphics Card,North,1766.23,23
2023-03-31,USB Cable,South,1796.49,15
2024-10-24,Cooling Fan,South,727.76,25
2024-07-26,Headphones,Central,444.1,45
2024-10-21,Processor,West,1847.48,36
2023-11-27,Mouse,West,1199.99,47
2023-03-15,Desk,East,1857.48,47
2023-09-25,Power Supply,Central,10.89,10
2023-04-30,Headphones,North,1170.59,37
2024-12-18,Monitor,West,764.28,23
2023-07-09,Case,Central,108.17,17
2023-06-16,Mouse,South,1715.79,19
2024-08-23,Speaker,North,487.19,9
2024-10-07,Graphics Card,Central,447.96,48
2024-07-31,Keyboard,West,340.61,3
2023-05-03,Mouse,North,779.92,46
2023-05-06,Monitor,Central,526.95,29
